ID,Label,Price,Vendor ID
5a0f52c5-7a93-4317-897f-ab698fcc5fb0,Galatea Sleek Pink Bodycon Dress,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
b58b859c-f0ae-45fb-b141-5cf9faf3f001,Paloma White Tie-up Midaxi Dress,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
73b04460-2e62-475f-8da5-ebf4677d0f6e,Elena White Rib Cutout Mini Dress,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
6f996e47-7095-4ec7-953f-4a101127004d,Arden Metallic White Active Wear Jumpsuit,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
300c5d7b-fcd6-44e8-a76b-7995c5bcc50e,Raegan Gold Asymmetric Bodysuit and White Pleated Maxi Skirt,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
4b6fc0db-8af3-4eac-8e84-01f3e28e9839,Lexie Lavender Rib Lounge Coord Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
957203ad-defd-4bea-98e9-e5099cc83744,Sasha Black Embroidered Corset Top,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
4aaf4322-e941-44df-b81b-57dde04f8135,Juniper Purple Glitter Button- Up Lounge Dress,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
0977f827-3bd3-458a-a94c-b47c26344b34,Athena Embroidered Bustier Corset Top,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
28a5325c-58cb-46ba-af34-96251dfab217,Thea Floral Puff Sleeve Bustier Corset,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
5751e73f-06db-4dd8-8dcd-7627e23c8275,Carson Mauve Blazer Pant,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
7431311b-5bc9-4f61-a76c-8267f173d42e,Tulip Taupe Modal Ruched Bodycon Maxi Dress,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
8e2b3b58-8cd3-4366-9d3a-2a4cf494a784,Tatiana Baby Blue Ruched Mesh Midi Corset Dress CL,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
f9d42ace-2907-4fea-9949-4645d94f2c6b,Sasha Yellow Embroidered Organza Sleeve Corset Top,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
b18417c4-040a-4cf3-b357-40ba69f579d4,Jules White Tie-Back Baby Tee,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
1c8f4eec-733f-480c-a15c-86adff60cc59,Raisa Black Lace Cami Crop Top with Crop Shurg,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
81602e21-ed61-45c4-835f-8dae2491d5e5,Claudia Terry Joggers,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
6d38bd19-a804-4e9d-81b0-ce036d3e9784,Martina Black Crystal Mesh Corset Jumpsuit,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
56db3cff-acfd-4e6c-9a14-c054eaf8a0ec,Stacy White Waffle Rib Lounge Set,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
09d26702-b7b4-459d-9f55-e329060e78e2,Carmen Black Crystal Mesh Crop Top,"{'default': None, 'original': None, 'meta': {}}",7c9e130b-8920-4914-853e-64ee867bb3b4
